Date,Region,TotalgovexpenBillion,,,,,,,,,,,
01/01/2018,Scotland,78,,,,,,,,,,,
01/01/2019,Scotland,80,,,,,,,,,,,
01/01/2020,Scotland,83,,,,,,,,,,,
01/01/2021,Scotland,100,,,,,,,,,,,
01/01/2010,Northern Ireland,23,,,,,,,,,,,
01/01/2011,Northern Ireland,24,,,,,,,,,,,
01/01/2012,Northern Ireland,25,,,,,,,,,,,
01/01/2013,Northern Ireland,25,,,,,,,,,,,
01/01/2014,Northern Ireland,25,,,,,,,,,,,
01/01/2015,Northern Ireland,25,,,,,,,,,,,
01/01/2016,Northern Ireland,25,,,,,,,,,,,
01/01/2017,Northern Ireland,26,,,,,,,,,,,
01/01/2018,Northern Ireland,26,,,,,,,,,,,
01/01/2019,Northern Ireland,27,,,,,,,,,,,
01/01/2020,Northern Ireland,28,,,,,,,,,,,
01/01/2021,Northern Ireland,35,,,,,,,,,,,
